date,code,diary_text
1883-01-01,sa_024r_0010_0010_0010,"1883년(명치 16) 1월 1일(1882년 11월 22일, 월, 맑고 춥다) 관직·빈부·귀천을 막론하고 모두 국기를 달았고, 사녀(士女)와 아동들은 새 옷으로 화사하게 차려입고 세배를 다닌다. 울긋불긋한 색깔이 거리에 가득하여 한층 번화하게 보이는데, 상점은 모두 문을 닫고 사람들이 한가로이 나다닌다. 그 태평한 기상이 우리들로 하여금 부러움을 금치 못하게 한다. 이날 오후 4시에 다나까 다다요시(田中忠義)를 찾아가다. 도소주(屠蘇酒, 약제를 배합하여 빚은 술로 정월 초하루날 마신다) 3잔을 마신 후에 그의 처자들이 모두 와서 인사를 한다. 다까후지(高藤)가 찾아오다. 술과 저녁을 마친 뒤 고우(古寓: 김옥균의 거처)로 돌아오다. 시간은 저녁 7시경이다. 이날 고베(神戶)로부터 전보가 왔는데, 사행(使行, 일본에 파견된 수신사 박영효(修信使 朴泳孝) 일행을 가리키는 듯)이 오늘 아침에 출발했다고 한다. 또 시모노세키(馬關)의 민공(閔公: 민영익,閔泳翊)으로부터 전신이 왔는데 내일 출발한다고 하였다. 밤에 비오다."
1883-01-02,sa_024r_0010_0010_0020,"2일(23일, 화, 맑음) 고우장(古愚丈: 김옥균)과 함께 후쿠자와 유키치(福澤諭吉)를 방문했다가 이마하라(今原)라는 사람을 만났다. 우리나라에서 돌아온 사람이다. 그에게 우리나라의 사정을 물었다. 그가 말하기를, “지금 경성에 있는 지나(支那) 군사는 모두 합쳐 3영(三營) 500명 이라고 하나 아마도 이는 지나친 말인 듯하고, 경성에 있는 일본 군사는 4백 명이다”라고 하였다. 또 말하기를, “귀국 조선정부는 모두 지나의 지휘를 받는다” 하고, 이어 “중국인은 총을 쏘면서 방약무인하게 제멋대로 행동하나 일본인은 조회(照會)하지 않으면 총을 쏘지 못한다”고 하였다. 아아 슬프다. 조선의 현상이여. 남의 노예 노릇하는 것보다 더 심한 처지에 있으면서도 어찌 떨쳐 일어나려 하지 않는가."
1883-01-03,sa_024r_0010_0010_0030,"3일(24일, 수, 맑고 춥다) 이날 오전에 고우장(古愚丈: 김옥균)과 같이 가미즈키(上月)를 방문했으나 만나지 못하였다. 다시 오자와(小澤)를 방문하다. 인사를 나눈 뒤 고우장이 물었다. “지금 귀국의 병대는 모두 얼마나 되는가.” 오자와(小澤)가 대답하기를, “상비(常備)·예비(豫備)·후비(後備)를 합하여 10만명 가량이나, 상비병은 4만이다”고 하였다. 고우장이 물었다. “귀국 병제는 대개 어느 나라의 제도를 본떴는가?” 오자와가 대답하기를, “유신 이전에 여러 번(藩) 중 삿슈(薩州)는 영국의 병제를, 기슈(紀州)는 독일의 병제를, 막부(幕府)는 불란서의 병제를 채용하였다. 그 밖의 허다한 번(藩)들이 각기 자기들이 좋아하는 바에 따라 일임되었기 때문에 제도가 한결같지 않았다. 명치정부(明治政府)에서도 육군에서는 불란서의 병제를, 해군에서는 영국의 병제를 채용했다. 지금에 와서는 널리 각국 병제를 모아서 편리하면서도 우리나라 실정에 맞는 것으로 편성하고 있으므로 일본군제(日本軍制)라고 부를 만하다”고 하였다. 또 말하기를, “병대(兵隊)의 훈련 등은 각국이 모두 대동소이하지만 양병(養兵)하는 정신은 크게 차이가 있다. 전일에는 불란서군(佛蘭西軍)의 정신이 심히 정예로웠으나 지금은 자못 무디어졌고, 독일군(獨逸軍)은 지금 정신이 심히 날카로운데 그것은 무력으로 나라를 세웠기 때문이다. 우리들은 또한 일본 병대가 독일군의 정신을 배우게 되길 원한다”고 하였다. 고우장이 “과연 그러하겠다”고 하였다. 이날 오자와(小澤) 씨에게 가친(家親: 윤웅렬,尹雄烈)의 사진을 주었다. 부친의 명이 있었기 때문이다. 다시 고우장을 모시고 나까무라 게이우(中村敬宇, 나가무라 마사나오(中村正直), 게이우는 아호)의 집을 방문하다. 중국인 장쯔팡(張紫昉)이 와 있었다. 인사를 나눈 뒤 고우장이 박동(朴童: 박명화,朴命和)이 입학하는 일을 부탁하였다. 게이지가 승낙하고 양력으로 이달 10일에 입교시키기로 약속하였다. 술 마시며 한담하다 처소로 돌아오다. 오후 4시에 고우장과 같이 일본 외무경(外務卿: 이노우에 카오루,井上馨)을 방문하였다. 고우(古愚: 김옥균)가 묻기를, “내가 듣건대, 베이징(北京)으로부터 도쿄(東京)에 머물고 있는 각국 공사와 일본정부에 은밀한 전달이 있었다고 하는데, 이것이 사실인가”라고 하였다. 외무경이 말하기를, “없었다. 그러나 베이징에 있는 각국 공사들이 모두 중국정부에 청하기를, 각국인도 조선인을 대하는데 있어 중국인이 조선인을 대하는 권리와 같도록 할 것을 원했다고 하는데, 이 말이 베이징에서 보고되어 온 것이다”고 하였다. 고우가 묻기를, “중국정부에서 이미 허용했는가”라고 하자, 외무경이 “듣지 못하였다”고 하였다. 고우가 말하기를, “전일에 영국공사를 만났더니, 그가 말하기를 ‘귀국과 우리나라 간의 조약이 만약 귀국과 청국과의 조약과 같다고 하면 우리나라에서 비준하기가 매우 쉽겠다’고 하여 내가 매우 미심쩍게 여겼다”고 하였다. 외무경이 말하기를, “영청조약(英淸條約) 내에 아편을 흡입하는 것을 허가한다든가, 내지를 통행함에 있어 그 나라의 법률에 구애되지 않는다든가, 세금 받는 등의 일을 조선에다가 행하고자 한다면, 만일 그렇게 된다면, 일본 같은 나라는 비록 그리하기를 싫어하더라도, 홀로 시행하지 않는다면 우리 인민에 대하여 불리하게 되므로 부득이 이에 따라 체결하게 될 것이다. 그런즉 가령 중국인들만이 귀국 내지를 함부로 돌아다닌다고 하더라도 혼잡함을 비길 수 없을 터인데 하물며 만국인들에게 다 임의로 하게 할 수 있겠는가. 또한 우리의 뜻은 귀국이 속히 전권을 가진 사절을 도쿄로 파견하여 통상조약을 맺게 되면 우리나라에서도 미국과 체결한 조약의 정신과 목적에 따르고, 귀국의 형세를 짐작하여 하나의 방안을 만들 것이다. 그런즉 각국 공사도 반드시 이것을 보고서 ‘조선이 비록 중국의 속국(屬國)이라고 하나 그 내치와 외교는 과연 자주하고 있다. 중국정부의 소개를 받은 다음에 조선과 조약을 체결할 필요는 없겠다’고 하며 직접 귀국으로 가서 조약을 맺게 될 것이다. 그 때에 귀국과 우리나라가 조약 원고에 조인하게 되면 모름지기 틈이 날 것도 없으며 또 중국인이 비록 귀국의 서울에서 사사건건 지휘한다고 하더라도 어떻게 하지 못하게 될 것이다. 만약 그렇지 않고 우리나라에서 귀국에 사절을 파견하여 조약을 체결하게 되면 매사를 다 중국인으로부터 지휘를 받게 될 것이며, 우리 사절도 반드시 한지조약(韓支條約) 한중조약(韓中條約) 은 저와 같은데 일한조약(日韓條約)은 이와 같이 할 수 없다고 하게 될 것이다. 그렇게 되면 일은 성공하지 못하고 한갓 갈등만 만들게 될 것이다. 공은 잘 계획하여 기어코 귀국 사절을 도쿄로 보내어 조약을 체결하게 해야 할 것이다”라고 하였다. 고우가 말하기를, “그것은 내가 미처 가르침을 듣지 못한 것이다. 나도 이와 같은 생각이 있어서 우리 조정에 발의한 바 있으나 친청파 무리들의 방해와 희롱을 입어 일이 마침내 이루어지지 않아 내가 매우 마음 상해하는 바이다. 또 고베(神戶)에서 당신의 가르침을 들은 뒤 또한 우리 조정에 글을 보냈으나 허락을 받지 못하였으니 아깝고 한탄스러움을 이기지 못하였다. 이 일은 반드시 이루어지기 어려울 것이다. 가령 귀국 사절이 우리나라 서울로 간다고 하더라도 그대의 말과 같이 일이 마침내 불미하게 될 것이다. 한탄스럽다”고 하였다. 이어 얼마동안 담화를 나누다가 우소로 돌아오다. 곧 다시 정양헌(靜養軒)으로 가서 저녁을 들다. 다카모토씨(高本)를 대접하게 위해서였다. 밤이 되어 돌아오다."
1883-01-04,sa_024r_0010_0010_0040,"4일(25일, 목, 맑고 춥다) 아침 10시 기차로 고우(古愚: 김옥균), 각치공(覺治公: 탁정식,卓挺植)을 모시고 요코하마(橫濱)로 네덜란드(和蘭) 서기를 방문했으나 만나지 못하였고, 벨기에(比耳時) 공사를 방문했으나 만나지 못하였다. 2시에 기차편으로 시나가와(品川)로 돌아와 고우장과 함께 후쿠자와(福澤)를 방문하다. 후쿠자와는 고우장에게 무익한데 돈을 낭비하지 말도록 권하였다. 6시경까지 담화를 나누다가 숙소로 돌아오다. 7시 반경에 나는 고구스가(家)의 저녁 모임에 참석하였다. 영국과 독일인 남녀들이 모여 있었다. 일본인은 남녀 15명인데 그 중 여자는 3인, 모두 영어에 능통하여 부러웠다. 2시경에 돌아와 자다. 이날 박의병(朴義秉)이 동경에 오다. 일본옷을 입고 있었다."
1883-01-05,sa_024r_0010_0010_0050,"5일(26일, 금, 맑고 춥다) 아침에 북해(北海:손붕구 孫鵬九) 씨 댁에 가서 종기가 난 곳에 고약을 바르다. 매우 아프다. 고우(古愚: 김옥균)·위산(緯山: 서광범,徐光範) 두 분과 같이 야노 요시데츠(矢野義徹)를 방문하다. 그는 일찍이 우리나라의 원산·부산에 머물렀던 사람이다. 뒤에 또 고우와 같이 가와무라(河村)를 방문했으나 만나지 못하였다. 오후 4시에 시마타쿠(島宅)에 갔다가 곧 돌아오다. 이날 들으니 이춘식(李春植)이 매독이 있어 고베(神戶)에 머물러 있다고 한다. 가련한 일이다. 어찌 삼가고 삼가지 않겠는가. 또 들으니 박의병에게도 어떤 병이 있다고 한다. 두려운 일이다."
1883-01-06,sa_024r_0010_0010_0060,"6일(27일, 토, 맑고 춥다) 간밤에 류마치스병으로 두 팔이 몹시 아파 자유로이 놀릴 수 없었다. 아침이 되어도 통증이 줄지 않았지만, 네덜란드(和蘭) 서기관을 만나려고 10시 기차를 타다. 마침 해군 관인(官人) 츠츠미(堤法正)씨와 자리를 같이 하였다. 내가 나의 병상을 말하니, 그가 말하기를, “이 병은 도시 한랭한 데서 나는 것으로 기질의 강약과는 상관이 없는 만큼 그다지 염려할 것이 없다”고 하였다. 이날 『우편보지신문(郵便報知新聞)』에 한청통상조약이 게재되었다. 그 대의는 달리 적기로 하거니와 대체로 우리 군주와 북양대신(北洋大臣)이 동등하다고 하며 전혀 속번(屬藩)으로 말하였다. 마음이 상함을 이기기 어렵다. 각설하고, 요코하마에서 바로 네덜란드 공관으로 가서 서기를 방문하였으나 만나지 못하였다. 다시 170번지의 서기관 자택으로 방문하였으나 아직 돌아오지 않았기 때문에 잠시 기다려야 했다. 그의 처는 미국인으로서 일본어에 숙달하였다. 일본에 머문 지 벌써 16년이 되었다고 한다. 12시 반에 서기가 돌아왔으므로 서로 말을 바꾸어 배울 계획을 말하였다. 그가 말하기를, “아침 8시부터 10시까지로 한다. 먼저 그대를 가르친 다음에 내가 배우되, 어학책으로 간략히 익히도록 하며, 양력 16일부터 시작하는 것이 좋겠다”고 하였다. 그러나 지금의 거처가 불편할 것 같아서 곧 헤어져 야도 사가(坂) 1번지로 가서 셋집이나 여관을 찾았으나 마땅치 않았다. 다만 중급(中級)의 집 한 채가 있을 뿐이다. 주인의 성은 다나까(田中)였는데, 그에게 집을 빌릴 일을 말하였다. 그가 말하기를, “내가 중개를 하여 가부간 알려 주겠다”고 한다. 10전을 우편료로 내놓고 오후 2시 30분 기차로 도쿄로 돌아왔다. 종기 때문에 몹시 고통스럽다. 곧 산성헌(山城軒)으로 가서 네덜란드 서기의 말을 전하였다. 밤에 종기로 몹시 고생하다. 류머티스병은 조금 차도가 있다."
1883-01-07,sa_024r_0010_0010_0070,"7일(28일, 일, 맑음) 종일 종기로 몹시 괴롭고 기거가 불편하다. 밤에 나니와(浪花)의 집으로 옮기다. 이불을 끌어안고 신음하다. 밤에 가친의 안부 편지와 이금초(李錦樵)의 편지를 받다. 고베(神戶)의 변수(邊燧:樹)가 전해 온 것이다."
1883-01-08,sa_024r_0010_0010_0080,"8일(29일, 월, 맑음) 밤새도록 통증이 멈추지 않아 누운 채로 밤을 새우다."
1883-01-09,sa_024r_0010_0020_0010,"9일(12월 1일, 화, 맑음) 이날 아침부터 통증이 약간 차도가 있고 곪은 곳이 터졌다. 종일 책을 보고 담배만 피웠더니 울적함을 견디기 어렵다. 밤에 북해(北海: 손붕구)가 약을 가지고 찾아와 종기를 봐주고 갔다. 그 정의가 고맙다."
1883-01-10,sa_024r_0010_0020_0020,"10일(2일, 수, 아침에 맑고 저녁에 비, 삼가다) 아침에 고름이 많이 나오고 응어리가 빠져 종기 구멍이 넓게 뚫렸다. 김군이 솜으로 종기 구멍과 고름을 씻어 주었는데 간호함이 매우 은근하였다. 고맙다. 저녁을 먹은 뒤 고우장(古愚丈: 김옥균)이 문병을 오다. 진실로 잊기 어려운 정의이다. 이날 고우장은 금삼온천(金杉溫泉)으로 이사한다고 한다. 비가 내려 먼지를 적시더니 곧 개다. 사가와 닛코오(佐川日光)가 찾아오다. 책을 보면서 소일하다."
