date,code
1883-01-01,sa_024r_0010_0010_0010
1883-01-02,sa_024r_0010_0010_0020
1883-01-03,sa_024r_0010_0010_0030
1883-01-04,sa_024r_0010_0010_0040
1883-01-05,sa_024r_0010_0010_0050
1883-01-06,sa_024r_0010_0010_0060
1883-01-07,sa_024r_0010_0010_0070
1883-01-08,sa_024r_0010_0010_0080
1883-01-09,sa_024r_0010_0020_0010
1883-01-10,sa_024r_0010_0020_0020
1883-01-11,sa_024r_0010_0020_0030
1883-01-12,sa_024r_0010_0020_0040
1883-01-13,sa_024r_0010_0020_0050
1883-01-14,sa_024r_0010_0020_0060
1883-01-15,sa_024r_0010_0020_0070
1883-01-16,sa_024r_0010_0020_0080
1883-10-19,sa_024r_0010_0030_0010
1883-10-20,sa_024r_0010_0030_0020
1883-10-21,sa_024r_0010_0030_0030
1883-10-22,sa_024r_0010_0030_0040
1883-10-23,sa_024r_0010_0030_0050
1883-10-24,sa_024r_0010_0030_0060
1883-10-25,sa_024r_0010_0030_0070
1883-10-26,sa_024r_0010_0030_0080
1883-10-27,sa_024r_0010_0030_0090
1883-10-28,sa_024r_0010_0030_0100
1883-10-29,sa_024r_0010_0030_0110
1883-10-30,sa_024r_0010_0030_0120
1883-10-31,sa_024r_0010_0040_0010
1883-11-01,sa_024r_0010_0040_0020
1883-11-02,sa_024r_0010_0040_0030
1883-11-03,sa_024r_0010_0040_0040
1883-11-04,sa_024r_0010_0040_0050
1883-11-05,sa_024r_0010_0040_0060
1883-11-06,sa_024r_0010_0040_0070
1883-11-07,sa_024r_0010_0040_0080
1883-11-08,sa_024r_0010_0040_0090
1883-11-09,sa_024r_0010_0040_0100
1883-11-10,sa_024r_0010_0040_0110
1883-11-11,sa_024r_0010_0040_0120
1883-11-12,sa_024r_0010_0040_0130
1883-11-13,sa_024r_0010_0040_0140
1883-11-14,sa_024r_0010_0040_0150
1883-11-15,sa_024r_0010_0040_0160
1883-11-16,sa_024r_0010_0040_0170
